#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 143000      1.09e+00    1.31e-01      2.36e-02    3.42e-02      4.15e-02    2.54e-03    6.7e-04
 144000      3.05e+00    4.68e+00      9.12e-02    9.16e-02      1.17e-01    1.81e-01    6.7e-04
 145000      1.95e+00    6.52e-02      1.61e-02    1.86e-02      7.55e-02    7.23e-04    6.6e-04
 146000      3.62e+00    3.04e-02      2.24e-02    5.65e-03      1.41e-01    9.24e-04    6.6e-04
 147000      1.16e+00    1.38e+00      8.57e-03    1.26e-02      4.53e-02    5.37e-02    6.6e-04
 148000      2.36e+00    5.07e+00      3.36e-02    4.55e-02      9.11e-02    1.97e-01    6.6e-04
 149000      2.09e+00    8.56e-01      2.58e-02    1.91e-02      8.10e-02    3.32e-02    6.6e-04
 150000      2.18e+00    2.26e+00      1.96e-02    2.25e-02      8.53e-02    8.85e-02    6.5e-04
 151000      3.99e+00    5.26e-02      8.38e-03    1.38e-02      1.56e-01    9.30e-04    6.5e-04
 152000      1.25e+00    1.30e+00      9.31e-03    1.14e-02      4.91e-02    5.10e-02    6.5e-04
 153000      2.43e+00    8.38e-01      9.39e-03    1.51e-02      9.53e-02    3.28e-02    6.5e-04
 154000      4.24e-01    5.49e-01      4.22e-02    3.19e-02      1.36e-02    2.11e-02    6.5e-04
 155000      3.14e+00    2.28e-01      4.14e-02    2.03e-02      1.24e-01    8.57e-03    6.4e-04
 156000      1.10e+00    7.01e-01      3.12e-03    2.96e-03      4.34e-02    2.77e-02    6.4e-04
 157000      1.55e+00    2.38e-01      3.04e-02    6.29e-02      5.98e-02    3.87e-03    6.4e-04
 158000      2.01e+00    2.67e-02      2.10e-02    7.22e-03      7.94e-02    3.77e-04    6.4e-04
 159000      1.44e+00    1.19e-01      3.57e-03    1.13e-03      5.68e-02    4.70e-03    6.4e-04
 160000      1.95e+00    2.74e+00      5.70e-02    4.96e-02      7.72e-02    1.09e-01    6.3e-04
 161000      2.15e+00    2.47e+00      2.77e-02    2.56e-02      8.38e-02    9.83e-02    6.3e-04
 162000      6.13e+00    7.70e-01      5.53e-03    1.53e-02      2.44e-01    3.06e-02    6.3e-04
 163000      2.91e+00    1.64e+00      2.22e-02    7.91e-03      1.16e-01    6.52e-02    6.3e-04
 164000      2.26e+00    5.90e+00      4.68e-02    6.16e-02      8.97e-02    2.35e-01    6.3e-04
 165000      1.68e+00    1.12e+00      2.13e-02    1.39e-03      6.69e-02    4.47e-02    6.2e-04
 166000      1.63e+00    2.29e-01      1.06e-02    1.63e-03      6.51e-02    9.18e-03    6.2e-04
 167000      7.59e-01    1.31e+00      7.48e-03    4.44e-03      3.03e-02    5.25e-02    6.2e-04
 168000      2.95e+00    5.33e-01      4.27e-02    5.66e-02      1.18e-01    1.98e-02    6.2e-04
 169000      1.97e+00    4.35e+00      5.68e-02    3.36e-02      7.77e-02    1.74e-01    6.2e-04
 170000      2.88e+00    7.00e-01      1.81e-01    7.82e-02      1.13e-01    2.59e-02    6.1e-04
 171000      3.31e+00    1.39e+00      1.63e-02    2.08e-02      1.33e-01    5.61e-02    6.1e-04
 172000      2.25e-01    4.05e+00      2.18e-02    8.18e-02      7.34e-03    1.63e-01    6.1e-04
 173000      1.48e+00    3.82e-01      3.56e-02    9.64e-03      5.67e-02    1.53e-02    6.1e-04
 174000      3.71e+00    1.16e-01      9.36e-03    1.22e-02      1.50e-01    4.36e-03    6.1e-04
 175000      1.13e+00    1.87e-01      5.41e-02    5.14e-02      4.33e-02    7.87e-04    6.0e-04
 176000      2.86e+00    2.16e-01      5.69e-02    4.30e-02      1.16e-01    6.09e-03    6.0e-04
 177000      4.61e+00    1.21e+00      1.45e-02    4.58e-02      1.88e-01    4.87e-02    6.0e-04
 178000      7.75e-01    4.10e-01      1.32e-02    5.66e-02      3.15e-02    1.44e-02    6.0e-04
 179000      3.23e+00    6.11e-02      5.93e-03    5.72e-03      1.31e-01    2.34e-03    6.0e-04
 180000      3.48e-01    2.39e-01      6.75e-03    9.78e-03      1.41e-02    9.69e-03    6.0e-04
 181000      4.49e-01    4.47e+00      1.99e-02    1.19e-02      1.80e-02    1.83e-01    6.0e-04
 182000      7.08e-01    2.34e+00      5.52e-02    5.21e-02      2.67e-02    9.57e-02    6.0e-04
 183000      3.11e-01    7.29e-02      2.77e-03    1.01e-02      1.27e-02    2.57e-03    6.0e-04
 184000      4.29e-01    2.73e-01      4.54e-02    6.90e-02      1.56e-02    4.37e-03    6.0e-04
 185000      3.28e+00    1.15e-01      2.56e-02    3.05e-02      1.35e-01    1.08e-03    5.9e-04
 186000      1.88e+00    1.12e-01      1.90e-02    2.85e-02      7.74e-02    1.64e-03    5.9e-04
 187000      2.51e+00    1.24e+00      2.58e-02    2.42e-02      1.03e-01    5.09e-02    5.9e-04
 188000      1.97e+00    6.60e-01      2.59e-02    6.27e-03      8.09e-02    2.72e-02    5.9e-04
 189000      2.08e+00    3.19e+00      9.72e-02    8.87e-02      8.08e-02    1.31e-01    5.9e-04
 190000      2.09e+00    4.67e+00      8.74e-03    1.12e-02      8.67e-02    1.94e-01    5.8e-04
 191000      2.08e-01    6.74e-01      2.16e-02    1.86e-02      7.38e-03    2.79e-02    5.8e-04
 192000      3.79e-01    1.03e-01      2.56e-02    2.52e-02      1.39e-02    1.77e-03    5.8e-04
 193000      1.07e+00    1.71e+00      5.78e-03    4.03e-03      4.45e-02    7.11e-02    5.8e-04
 194000      1.76e+00    5.36e-01      1.97e-02    2.37e-02      7.30e-02    2.20e-02    5.8e-04
 195000      6.98e-01    4.98e-01      2.38e-02    1.81e-02      2.77e-02    2.07e-02    5.7e-04
 196000      4.02e+00    3.96e+00      2.31e-02    2.00e-02      1.68e-01    1.66e-01    5.7e-04
 197000      3.87e-01    2.15e-01      1.62e-02    2.09e-02      1.51e-02    8.39e-03    5.7e-04
 198000      9.21e-01    5.99e-01      2.12e-03    1.35e-03      3.85e-02    2.51e-02    5.7e-04
 199000      2.57e+00    3.18e+00      1.47e-02    1.40e-04      1.08e-01    1.33e-01    5.7e-04
 200000      7.02e-01    2.61e+00      1.30e-03    2.13e-03      2.96e-02    1.10e-01    5.6e-04
 201000      1.27e+00    3.15e-01      6.40e-02    6.86e-02      5.08e-02    7.51e-03    5.6e-04
 202000      1.03e+00    3.09e+00      6.67e-03    1.83e-02      4.32e-02    1.30e-01    5.6e-04
