# Time-averaged data for fix 5
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6]
227000 -16110.2 7283.37 -2583.62 -15804.1 8642.05 -2563.57
228000 -13062.2 9693.59 -2095.12 -12988 10621 -2072.92
229000 -10200.4 8105.03 -2382.14 -10349 9716.75 -2412.56
230000 -9558.56 8261.18 -2117.53 -9353.46 10066.9 -2144.58
231000 -9203.39 11838.9 -2004.45 -8748.04 13754.3 -2000.84
232000 -12490.2 11548.8 -1681.94 -11363.1 12934.2 -1633.7
233000 -14930.6 9681.27 -2431.36 -13721.4 10656 -2438.3
234000 -15437.2 7830.79 -2638.43 -14049.1 8660.47 -2651.25
235000 -15832.5 10676.1 -1775.19 -13959.5 11419.3 -1752.24
236000 -15480 13708.1 -1550.37 -14164.6 14245.6 -1588.64
237000 -14284.1 15780.6 -1800.39 -14219.3 16825.2 -1800.96
238000 -14468.7 13280.8 -1787.81 -14249.8 14278.7 -1733.55
239000 -12248.9 12572.9 -1260.35 -11723.9 13669.7 -1212.49
240000 -8196.76 11205.6 -1361.95 -7634.79 13066 -1344.68
241000 -6033.06 11985.5 -857.097 -5359.04 13169.9 -858.847
242000 -8470.54 8598.74 -1108.29 -8383.01 9457.23 -1053.64
243000 -6804.68 4117.17 -1415.18 -6475.91 5568.61 -1427.33
244000 -7461.13 4596.36 -2452.5 -7248.05 6294.59 -2443.8
245000 -6592.07 4381.33 -2176.04 -6199.6 5841.24 -2186.96
246000 -4116.69 6978.25 -2182.81 -3919.78 7780.11 -2159.72
247000 -3796.34 7298.78 -2510.46 -3898.29 8169.8 -2481.28
248000 -6545.18 5866.86 -2007.72 -6151.6 6504.16 -1954.51
249000 -7725.7 6358.09 -1011.35 -7478.65 6998.2 -1012.86
250000 -4357.35 5040.49 -510.262 -5033.55 6021.14 -538.387
251000 -1502.71 2001.25 -1208.85 -2123.37 3166.4 -1203.72
252000 2524.7 -1733.59 -1564.87 2431.13 -700.005 -1555.34
253000 5961.85 -3591.15 -2384.19 5492.9 -3090.52 -2357.68
254000 9224.64 -6629.67 -2507.98 8473.76 -5719.03 -2546.09
255000 8148.3 -4517.73 -3015.45 7027.08 -3250.54 -2989
256000 11952.6 -2729.35 -2880.45 10555.9 -1449.9 -2850.47
257000 14960.4 -6833.95 -2930.98 13475.4 -5662.51 -2930.56
258000 13214.2 -9108.25 -2306.3 11958.6 -8192.16 -2315.08
259000 11073.6 -7850.03 -2193.45 10160.8 -7219.38 -2233.13
260000 8893.69 -6542.27 -2459.35 8475.87 -5611.66 -2409.8
261000 6726.52 -6567.07 -2763.42 6505.67 -6101.57 -2732.56
262000 5493.39 -9891.7 -3245.56 5116.94 -9200.54 -3224.84
263000 8941.92 -11155 -2858.82 8535.71 -10191 -2850.53
264000 12554 -10963.9 -3047.04 12572.1 -9733.94 -3046.37
265000 13227.9 -13402.9 -2556.25 13248.8 -12098.9 -2562.47
266000 11738.5 -11686.9 -2085.44 12203.2 -10265.4 -2068.9
267000 12870.2 -12257.8 -2298.31 13615.5 -10591.1 -2248.78
268000 14343.6 -15535.3 -1598.89 14709.6 -13708.6 -1570.36
269000 14716.9 -20111.8 -566.91 15379.1 -18531.8 -585.427
270000 11641.6 -19624.9 299.647 12121 -18440.2 317.144
271000 8981.9 -18811.4 1204.45 8954.33 -17199.3 1206.09
272000 7034.35 -15619.1 868.403 6812.29 -14437 888.8
273000 8334.02 -19825 648.084 8482.96 -18398.5 648.055
274000 6177.9 -18141.9 572.79 6684.79 -16234.1 614.267
275000 3124.31 -11066.1 550.304 4025.22 -8833.25 560.469
276000 3486.27 -11981 940.827 4153.78 -9965.21 932.045
277000 1208.86 -9754.04 1587.77 1419.86 -7757.18 1630.87
278000 -633.689 -5252.57 1411.35 322.549 -3556.79 1429.88
279000 -145.824 -1426.37 2020.45 1032.24 -238.307 1993.58
280000 4802.56 -86.8306 2800.88 5492.97 1058.19 2760.77
281000 6133.85 936.902 2355.31 6563.75 1833.71 2360.92
282000 6284.84 -333.5 2759.18 6493.84 824.878 2732.93
283000 4691.81 858.56 2640.57 4580.51 1848.63 2604.05
284000 1462.19 -2559.24 2623 917.985 -2136.75 2633.52
285000 -2927.54 -3615.62 2947.9 -3305.49 -3065.82 2947.3
286000 -3487.52 -5209.46 2631.13 -4257.64 -4724.91 2621.14
