# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
139000 -203.19 229.604 258.537 272.834 283.484 289.117 294.012 302.747 308.601 314.805 325.412 331.662
140000 -204.261 230.953 259.644 272.633 283.581 288.667 295.583 302.025 307.997 314.438 324.978 331.66
141000 -205.781 230.14 260.566 273 283.119 289.156 295.123 300.839 309.622 313.302 325.899 332.259
142000 -207.065 231.23 262.432 272.19 283.697 289.058 293.789 302.9 309.144 313.548 324.352 333.387
143000 -209.069 231.511 263.698 272.541 283.688 287.822 295.64 302.685 308.322 313.633 324.008 334.118
144000 -209.813 231.622 264.145 271.366 284.392 288.1 295.516 303.605 307.541 315.212 322.855 333.863
145000 -210.815 232.895 265.196 270.403 284.705 287.95 295.216 302.293 307.72 315.902 323.065 334.328
146000 -212.015 233.59 267.5 268.786 285.723 287.55 294.921 301.064 308.061 315.478 323.816 333.011
147000 -214.347 234.362 266.681 269.233 284.612 287.004 295.961 301.951 307.016 316.34 324.051 333.375
148000 -215.527 238.272 265.218 271.397 281.983 286.921 295.039 303.48 306.889 317.332 324.099 333.336
149000 -218.865 238.427 263.968 271.574 282.918 286.886 295.437 302.915 306.986 317.608 323.649 333.616
150000 -218.39 240.164 264.96 271.736 281.585 287.614 295.23 301.367 308.741 317.102 323.555 333.541
151000 -220.475 240.505 265.871 272.403 281.385 286.893 295.453 301.08 308.337 318.098 323.863 333.359
152000 -222.377 241.58 266.224 272.557 281.349 285.463 296.997 300.963 308.728 317.032 324.053 334.855
153000 -224.276 243.229 265.351 272.244 280.425 286.537 296.129 301.259 308.327 317.474 324.513 334.977
154000 -223.102 244.941 264.66 272.332 278.995 287.639 296.899 299.626 308.824 318.041 324.342 334.147
155000 -226.346 248.371 265.506 270.741 279.629 288.312 295.956 297.359 309.987 318.038 325.995 334.047
156000 -226.774 249.459 262.716 272.212 278.554 289.135 295.05 298.119 308.242 318.714 328.023 333.267
157000 -228.041 250.855 261.512 272.353 280.477 287.432 294.637 300.42 307.294 318.915 326.838 334.481
158000 -229.26 254.309 261.449 271.91 280.956 287.927 292.391 302.381 307.78 317.453 326.605 334.982
159000 -232.17 252.393 262.152 271.38 282.363 287.196 291.668 303.169 307.793 316.281 327.344 335.767
160000 -232.255 252.465 262.831 271.949 281.597 287.065 292.835 303.779 306.865 317.246 328.355 335.201
161000 -231.648 254.019 263.498 272.43 279.681 288.015 293.439 303.389 307.133 316.39 327.995 334.637
162000 -230.811 256.382 263.821 272.504 277.119 289.294 292.344 303.761 308.681 314.066 329.558 332.569
163000 -232.547 257.571 263.402 273.408 274.945 290.45 292.331 303.58 309.522 313.83 329.259 332.05
164000 -233.763 258.614 262.889 273.73 276.094 288.589 293.272 302.72 310.671 313.342 327.037 334.659
165000 -236.034 261.025 262.65 273.307 276.648 287.94 293.419 302.255 311.791 313.682 325.574 335.323
166000 -236.658 262.011 262.981 273.018 276.647 287.386 294.521 303.184 310.55 316.072 323.137 336.166
167000 -239.436 262.319 262.363 273.857 275.852 287.251 294.97 303.718 309.786 315.141 323.947 337.137
168000 -239.346 263.911 262.755 273.995 276.1 285.954 294.441 303.056 310.417 313.679 326.546 338.077
169000 -244.364 265.088 262.178 272.929 276.89 285.966 294.664 301.515 312.064 313.839 326.036 338.466
170000 -242.217 266.727 263.943 272.276 274.579 286.914 295.134 301.158 312.329 314.608 325.62 337.303
171000 -246.671 267.176 264.735 271.937 273.374 286.76 295.911 300.341 313.006 314.374 325.497 338.63
172000 -246.686 267.902 265.214 270.86 274.919 285.117 298.165 299.681 311.318 313.344 327.376 338.857
173000 -248.102 269.273 265.656 268.971 277.987 284.665 298.877 300.183 310.357 312.88 327.679 338.872
174000 -246.705 268.413 266.594 268.744 277.445 284.879 299.546 299.703 309.87 312.556 327.966 338.427
175000 -247.713 272.165 266.318 268.52 277.766 285.243 298.409 299.089 310.703 313.322 326.776 337.767
176000 -246.878 270.915 264.552 269.963 277.868 285.742 298.001 298.764 310.298 313.268 327.338 336.931
177000 -248.484 272.841 265.259 268.687 279.617 283.798 298.158 299.415 309.385 314.108 327.516 336.589
178000 -249.235 276.19 263.38 269.226 280.783 282.233 297.801 300.278 308.292 313.715 328.128 336.995
179000 -247.784 277.656 262.998 269.75 280.04 283.978 296.825 300.708 308.63 313.203 328.403 335.064
180000 -250.227 278.506 261.036 272.047 278.462 283.555 296.999 301.594 306.995 313.674 329.114 334.634
181000 -251.3 279.22 260.425 272.939 279.35 281.599 298.54 302.28 306.095 313.37 329.137 335.495
182000 -253.747 280.252 260.726 273.855 278.346 282.687 297.479 302.683 306.557 312.232 328.919 337.053
183000 -254.418 281.466 260.404 274.31 277.727 284.577 296.215 301.01 308.159 312.059 329.303 335.833
184000 -254.791 283.521 259.594 274.625 276.736 285.039 295.539 302.221 306.648 312.343 329.82 335.472
185000 -255.916 285.457 259.57 272.76 277.491 285.872 294.683 303.364 304.959 312.775 330.066 336.86
186000 -255.877 285.716 260.521 272.156 278.3 285.774 294.898 302.308 304.507 314.54 328.617 337.373
187000 -257.122 287.025 261.704 271.264 278.068 285.84 296.185 301.123 305.121 315.02 327.055 337.691
188000 -259.315 288.101 260.969 272.209 276.595 287.409 296.171 299.485 306.356 314.837 326.493 338.17
189000 -258.257 289.042 261.16 271.758 276.34 288.111 295.874 299.348 307.793 314.39 324.027 338.527
190000 -259.162 290.535 260.471 271.695 276.403 288.737 295.335 298.808 307.702 315.63 322.496 337.67
191000 -257.532 293.543 260.402 270.697 278.009 287.53 294.611 300.21 307.869 314.805 322.972 335.929
192000 -259.728 294.04 260.873 270.729 278.441 287.091 292.98 300.873 308.395 314.453 322.856 336.276
193000 -260.515 295.27 260.566 270.327 279.202 286.701 291.307 301.542 309.286 314.16 324.37 335.563
194000 -260.367 295.781 262.963 268.405 279.851 285 292.636 300.64 308.958 314.371 323.856 335.252
195000 -260.68 295.298 263.549 267.208 281.343 285.133 292.553 302.172 309.361 312.702 324.688 334.111
196000 -264.145 296.66 262.411 266.933 282.258 286.394 294.108 301.499 308.073 311.983 325.146 334.641
197000 -265.72 297.59 263.43 267.21 281.927 286.689 294.36 300.652 307.485 312.571 325.133 333.725
198000 -263.971 298.388 263.074 269.08 279.77 286.937 294.592 299.974 309.357 311.559 325.421 332.508
199000 -262.883 299.608 261.853 269.251 279.704 286.192 295.554 298.557 310.995 311.501 324.065 333.426
200000 -265.474 300.23 261.598 268.702 280.127 286.093 296.073 298.888 310.137 313.243 323.211 334.858
201000 -263.778 302.856 260.271 269.184 281.565 287.255 295.548 298.295 308.716 314.334 321.395 335.292
202000 -265.451 303.372 261.46 267.958 282.713 285.757 295.925 298.118 308.414 314.691 321.167 335.111
203000 -267.267 304.282 263.248 266.333 282.553 285.333 296.481 299.476 307.559 314.129 321.834 335.891
204000 -270.193 303.587 263.396 266.386 282.217 286.538 295.905 300.424 307.009 314.278 321.682 336.14
205000 -272.072 303.855 264.823 266.011 281.307 287.215 296.472 300.656 306.765 314.524 321.81 335.693
206000 -273.546 303.586 264.951 267.925 280.44 286.925 296.648 300.81 306.514 314.137 322.265 335.985
207000 -273.546 304.238 264.511 268.587 280.283 286.905 295.152 301.594 308.015 314.202 321.504 336.17
208000 -272.426 306.05 263.634 268.255 281.726 285.81 295.022 302.559 307.304 314.472 321.806 334.496
209000 -272.842 308.614 263.476 267.348 281.701 285.801 294.822 304.286 305.67 314.45 322.762 332.33
210000 -273.453 309.745 263.438 267.67 280.35 286.639 295.062 302.717 307.621 313.511 324.014 331.439
211000 -274.595 309.351 264.447 267.953 281.217 286.298 296.788 298.977 309.455 312.359 325.486 331.014
212000 -274.195 309.397 265.336 267.644 281.762 284.685 297.575 298.907 308.714 312.788 325.454 331.24
213000 -276.729 309.582 265.06 268.265 280.784 286.532 295.163 300.333 308.052 313.279 324.919 331.225
214000 -278.694 311.465 264.57 268.959 280.415 286.482 295.479 300.942 307.514 314.599 324.264 331.05
215000 -279.77 311.678 265.017 269.869 280.042 285.734 296.316 299.489 308.25 314.521 323.727 331.803
216000 -280.103 312.382 264.862 269.617 281.518 284.108 296.943 297.418 309.384 314.427 323.724 333.248
217000 -282.606 313.18 265.329 271.433 279.971 285.793 295.594 296.45 311.058 313.207 323.811 333.442
218000 -281.808 313.739 264.967 271.85 280.018 287.574 294.054 297.279 309.914 312.71 323.902 332.474
219000 -280.787 315.602 264.096 272.881 279.626 287.833 293.791 297.37 308.279 315.224 321.367 332.355
220000 -283.031 316.773 263.287 273.818 279.189 288.499 292.682 299.405 306.574 315.336 321.225 332.864
221000 -284.051 319.28 263.209 273.479 279.932 288.058 292.403 299.896 305.198 316.414 321.823 332.504
222000 -286.53 320.729 263.512 272.613 280.054 288.35 291.148 299.558 307.258 315.733 320.127 334.332
223000 -285.25 322.698 262.922 272.71 281.294 287.09 290.393 299.795 308.241 314.055 320.865 333.06
224000 -283.952 321.159 264.715 272.165 281.418 286.266 289.989 300.526 308.896 313.891 323.079 331.092
225000 -285.537 321.69 266.417 271.285 282.524 286.123 289.587 300.815 308.049 314.231 323.185 329.945
226000 -284.755 323.226 265.942 272.697 281.3 286.956 289.803 301.159 307.241 315.202 322.41 328.962
227000 -286.97 323.782 264.781 273.481 280.833 288.837 288.139 301.204 306.555 316.193 322.857 328.339
228000 -288.177 323.774 264.552 273.938 280.138 289.598 287.331 300.451 308.379 316.691 321.124 328.537
229000 -288.039 326.332 263.342 274.696 279.609 289.132 288.234 301.598 307.034 317.073 321.73 328.185
230000 -292.116 329.605 262.732 274.848 278.532 288.42 290.557 299.353 307.884 315.866 324.992 327.865
231000 -296.439 331.028 261.634 274.483 278.146 288.944 292 297.672 308.464 314.703 326.825 328.478
232000 -296.26 332.335 260.788 274.856 279.174 287.848 292.814 297.508 308.251 312.949 328.684 328.048
233000 -296.441 334.845 259.9 274.091 280.434 286.269 291.837 299.386 307.137 314.234 327.834 328.233
234000 -296.942 335.659 262.215 272.526 279.903 288.617 290.997 300.212 305.626 315.748 325.171 330.82
235000 -298.4 336.785 261.929 272.374 279.589 289.002 291.162 299.314 306.045 316.025 323.741 332.192
236000 -301.266 338.124 260.665 272.189 280.328 290.355 289.445 298.664 307.355 317.869 323.062 331.235
237000 -304.018 339.181 260.053 273.193 278.48 290.579 292.163 298.027 305.959 318.554 324.097 330.747
238000 -304.796 340.176 259.744 273.129 278.725 289.551 292.706 297.745 305.354 318.64 323.521 333.18
239000 -307.594 340.915 258.652 273.356 280.216 288.454 291.293 299.466 305.438 319.128 322.233 334.935
240000 -305.482 341.779 259.325 273.688 281.291 288.308 290.89 299.587 305.033 317.929 322.647 334.632
241000 -309.103 343.761 259.555 271.912 281.795 288.162 289.15 301.414 305.212 318.215 322.402 334.196
242000 -308.923 346.45 259.799 271.842 281.723 288.789 287.594 302.05 305.788 317.465 324.075 332.413
243000 -311.368 345.892 260.174 272.357 281.445 287.657 287.672 301.898 306.633 317.156 324.106 333.125
244000 -310.446 346.066 260.553 272.13 281.73 287.474 288.038 301.622 306.866 316.875 324.582 333.947
245000 -310.854 348.847 260.471 271.427 282.63 286.634 287.884 301.959 305.437 318.519 324.288 332.322
