# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
106000 -166.988 171.055 263.889 274.195 283.646 288.532 302.788 303.275 306.883 316.146 324.422 337.599
107000 -169.878 170.359 263.29 273.75 284.998 289.069 301.97 303.639 307.204 315.579 326.313 336.877
108000 -168.181 172.334 264.718 273.158 285.1 289.646 301.178 302.477 308.161 314.548 326.129 336.411
109000 -168.418 173.268 264.82 273.426 283.671 291.49 297.553 304.253 309.406 314.093 324.824 337.004
110000 -171.034 176.927 262.972 274.165 282.517 293.24 294.971 305.42 309.267 314.791 324.389 337.348
111000 -170.696 176.556 261.235 275.086 282.547 292.745 296.236 305.173 309.035 314.532 325.3 336.396
112000 -172.923 178.582 261.446 276.122 281.156 293.408 296.511 304.461 308.646 315.77 325.249 335.76
113000 -172.215 178.542 261.591 275.192 281.67 294.429 296.821 303.491 308.461 314.934 327.935 333.39
114000 -172.621 178.729 262.099 275.4 282.108 292.64 297.213 302.78 308.175 316.028 326.58 334.549
115000 -173.934 181.5 262.548 273.729 282.679 293.225 295.168 302.834 310.256 315.787 326.492 335.185
116000 -173.871 183.147 263.148 273.106 283.764 292.754 295.904 302.748 310.332 315.051 325.241 334.75
117000 -174.506 182.771 263.979 272.926 283.087 291.956 296.208 303.146 310.053 313.883 325.922 335.24
118000 -173.91 183.473 264.072 272.955 283.578 292.098 295.904 303.254 310.362 315.279 325.032 334.51
119000 -175.319 183.771 263.767 271.525 285.342 292.683 293.138 303.506 312.562 314.845 324.313 333.956
120000 -175.072 187.119 262.712 272.202 285.524 290.619 295.249 301.692 315.826 313.541 324.099 333.075
121000 -177.486 187.974 262.206 271.791 285.75 289.708 296.455 301.335 315.098 313.341 325.06 333.352
122000 -178.716 190 262.923 271.382 285.912 290.916 295.671 301.52 315.92 313.946 323.768 333.783
123000 -180.672 190.737 261.734 270.566 287.456 290.627 294.442 300.44 316.707 313.839 323.562 336.023
124000 -181.432 192.468 262.03 270.432 287.083 289.8 294.961 301.582 315.403 313.685 322.882 336.979
125000 -185.542 193.166 262.45 271.04 285.255 289.715 295.988 301.246 315.636 314.472 322.509 336.748
126000 -183.797 196.453 262.528 272.4 284.207 289.169 295.945 301.601 314.527 316.556 320.345 338.579
127000 -183.819 194.481 262.625 272.807 283.619 288.71 296.3 301.416 314.225 317.98 319.489 337.279
128000 -186.308 196.625 263.539 272.154 282.52 290.629 295.195 302.339 313.915 318.422 320.308 336.485
129000 -188.618 198.372 264.107 271.143 283.334 290.658 295.309 302.321 313.665 318.001 320.56 336.782
130000 -187.633 199.12 264.099 270.977 284.072 288.456 295.874 302.859 312.12 319.577 319.979 337.628
131000 -188.309 200.105 263.229 270.792 285.927 287.069 294.851 304.012 310.827 319.43 320.828 337.823
132000 -191.721 199.933 263.704 269.897 285.325 286.016 295.673 304.118 311.307 319.479 321.657 337.788
133000 -191.026 201.38 263.746 269.737 286.114 285.705 296.155 303.424 311.788 318.108 323.58 336.874
134000 -194.231 203.351 262.548 271.096 286.561 284.529 298.922 301.866 312.593 316.477 324.628 336.263
135000 -192.094 201.868 263.72 271.826 285.123 284.821 299.924 302.057 311.091 317.25 325.209 335.102
136000 -194.674 204.76 263.243 271.838 283.954 284.709 301.093 301.416 312.173 315.9 325.219 335.887
137000 -194.593 206.652 263.002 271.458 280.89 288.29 300.288 301.2 312.836 315.99 324.189 336.415
138000 -194.898 207.027 262.477 271.194 279.85 290.414 297.827 304.083 312.302 314.131 325.507 335.567
139000 -197.392 207.372 262.978 271.226 279.422 291.621 297.729 304.959 312.338 314.594 323.188 335.981
140000 -198.07 206.965 264.182 271.746 279.288 291.63 297.19 304.065 312.534 315.94 320.977 336.367
141000 -198.676 207.124 266.2 271.619 278.349 292.208 296.464 305.061 311.996 316.316 320.288 337.349
142000 -197.84 207.884 265.914 272.127 278.602 291.274 296.465 305.464 311.035 316.498 319.722 337.666
143000 -197.333 208.57 265.89 271.429 280.195 290.417 297.334 304.658 310.185 316.251 320.303 337.485
144000 -199.894 211.449 264.65 271.822 280.035 290.458 298.177 304.362 309.791 317.141 319.211 338.244
145000 -200.236 210.959 264.758 272.373 279.634 288.81 299.262 304.336 311.365 316.444 320.232 336.026
146000 -198.203 211.776 263.958 273.961 280.335 288.486 298.105 304.181 311.913 317.17 319.483 335.606
147000 -201.454 212.92 264.913 272.785 281.037 289.218 296.589 303.538 313.034 315.711 320.948 335.812
148000 -201.98 213.513 265.14 273.056 282.41 288.214 295.645 304.326 314.339 312.793 322.55 334.92
149000 -202.966 215.717 263.178 272.623 282.369 287.943 296.176 304.598 313.548 313.049 323.074 334.382
150000 -203.02 217.186 263.322 273.371 282.066 287.872 296.08 305.56 312.099 313.176 324.73 333.04
151000 -204.841 217.098 262.851 273.602 281.857 289.156 294.46 305.412 312.017 314.363 324.341 333.984
152000 -204.318 217.694 263.593 273.422 282.604 289.273 292.493 305.798 312.287 316.03 323.793 332.373
153000 -207.064 220.737 263.679 272.747 283.024 288.296 293.433 305.52 311.364 317.001 324.115 332.694
154000 -207.464 220.522 265.199 271.452 282.708 287.806 294.376 304.31 312.072 318.104 322.863 332.502
155000 -207.475 221.964 265.109 271.753 282.832 287.436 295.744 302.447 312.455 319.398 323.115 331.167
156000 -207.27 222.92 263.996 272.237 282.943 287.584 295 302.116 314.069 319.566 321.651 330.518
157000 -209.572 222.83 263.98 272.218 282.162 288.96 295.446 299.97 314.898 319.36 322.705 331.019
158000 -210.766 225.088 264.628 272.219 282.047 287.718 295.416 298.801 316.294 319.651 322.56 331.782
159000 -212.764 224.689 263.859 271.644 282.802 287.375 295.907 299.166 315.561 320.613 322.402 332.991
160000 -213.478 225.759 264.346 271.91 283.118 287.598 296.537 298.339 314.334 321.163 324.313 331.291
161000 -216.386 227.805 265.094 272.259 283.096 287.603 295.77 298.888 313.866 319.344 326.215 333.114
162000 -217.304 226.413 266.17 272.202 283.601 287.282 294.104 300.824 314.047 317.535 325.338 334.32
163000 -218.498 225.422 265.797 274.456 283.014 287.03 293.839 301.014 314.809 317.118 324.028 336.194
164000 -223.215 226.73 265.168 276.269 281.711 288 292.638 299.874 314.899 318.316 324.822 337.806
