,strain,up_strain_armchair,up_strain_zigzag,bottom_stress_armchair,bottom_stress_zigzag,total_stress_armchair,total_stress_zigzag
48,0.0096,0.00780228261298932,0.00780228261298932,1.004549485727739,1.2586767178856635,5.064984652897476,5.099876978545525
49,0.0098,0.007980909646752243,0.007980909646752243,0.9874413535468162,1.2177432597007523,5.104948498034955,5.1835626184255785
50,0.01,0.008183396815095723,0.008183396815095723,0.9826651332043135,1.2431153047534074,5.326080206344051,5.3693543152851655
51,0.0102,0.00837459863161083,0.00837459863161083,0.983259608312649,1.199296464566701,5.373972445127945,5.400972031468156
52,0.0104,0.008574136449171599,0.008574136449171599,0.978014717319157,1.2041075838936237,5.536721977387744,5.583541552703548
53,0.0106,0.00877165032936067,0.00877165032936067,0.9758236648566698,1.1896997849365476,5.675384807953739,5.734334294306058
54,0.0108,0.008902871766880649,0.008902871766880649,0.9371834453822816,1.1511590009380923,5.6006484206355704,5.656331122922549
55,0.011,0.009116443268491814,0.009116443268491814,0.9461157724648777,1.1634908909470707,5.8654763668666945,5.9350907732259595
56,0.0112,0.009296400988497044,0.009296400988497044,0.9383507468820077,1.1528299438687646,5.953040875403627,5.952558235083551
57,0.0114,0.0094963825029597,0.0094963825029597,0.9340554797067343,1.137532305129355,6.164140166590263,6.260874771734444
58,0.0116,0.00968795157269886,0.00968795157269886,0.924724096879484,1.1335367785850106,6.202368281422274,6.237882195841651
59,0.0118,0.009881620619023979,0.009881620619023979,0.9087930314084874,1.1066054262608744,6.429505537073172,6.499301863553781
60,0.012,0.010076224381428966,0.010076224381428966,0.9076099458056944,1.0992079266655477,6.4555011907831945,6.503404622530378
61,0.0122,0.009849696687604714,0.009849696687604714,0.722145029445837,1.0509327527319645,6.387471580676464,6.5340982324242205
62,0.0124,0.010037139012139207,0.010037139012139207,0.9935503336715716,0.9940276769281268,6.3751171000148394,6.00384146103244
63,0.0126,0.004454702333922977,0.004454702333922977,0.49797526146668997,-0.08355736990554379,0.8538555966020914,-0.13825632272142696
64,0.0128,0.004649304074008542,0.004649304074008542,0.4864964816943415,-0.06701897904317601,0.9969558139110647,-0.014014556559250026
65,0.013,0.004846088705780183,0.004846088705780183,0.47799725519809805,-0.059253474752279836,1.121570125690829,0.12206000284203142
66,0.0132,0.0050445716814813135,0.0050445716814813135,0.48415196545621275,-0.052693420267908506,1.2693742074808043,0.2521710052601797
67,0.0134,0.005227688669034558,0.005227688669034558,0.4984000905280966,-0.031447952024905884,1.383691119683682,0.31222998752277387
68,0.0136,0.0054257283522975985,0.0054257283522975985,0.5033714186880788,-0.013632036930337337,1.527362785546233,0.5339463049504243
69,0.0138,0.0056239698630486945,0.0056239698630486945,0.5140198777710784,-0.0015209626826355016,1.6747638687353983,0.6632895837175669
70,0.014,0.005552876838312182,0.005552876838312182,0.3803567834829404,0.12175066064968999,1.658340256525218,0.7120676457333975
71,0.0142,0.005745536747198132,0.005745536747198132,0.3961621129969385,0.063770259213162,1.7780230466140319,0.8373984067267713
