# Time-averaged data for fix 5
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6]
141000 11292.1 -8596.22 -2988.55 10699.4 -4407.33 -2992.3
142000 10529.9 -5266.42 -3514.38 9679.31 -1023.34 -3525.84
143000 8041.54 -6817.38 -4215.03 7872.55 -2524.8 -4224.62
144000 5949.67 -4909.18 -3748.99 5816.87 -896.66 -3730.33
145000 2442.95 -8115.35 -3138.64 2290.72 -3931.9 -3138.64
146000 206.928 -1892.86 -3373.74 20.4095 2201.96 -3326.6
147000 -653.294 2458.38 -3779.14 -859.886 6331.95 -3818.21
148000 -3608.67 3889.28 -3752.85 -4324.22 7767.25 -3739.53
149000 -3635.26 -735.394 -2951.23 -4336.36 3374.54 -2924.37
150000 -2784.17 1220.27 -3142.76 -4057.2 5261.79 -3149.92
151000 -4198.99 5565.19 -2758.35 -5361.13 9875.76 -2748.75
152000 -7001.54 10035.7 -2377.51 -7673.4 14503 -2372.85
153000 -7991.76 10669.5 -2085.86 -7964.81 15374.2 -2103.13
154000 -8034.33 14657.3 -1705.13 -7429.98 18714.2 -1721
155000 -10065.7 16266.4 -736.852 -9750.69 19759.2 -705.923
156000 -12005 11183.1 -2021.84 -11887.6 14709.7 -2048.91
157000 -13403 9558 -2414.09 -13686.8 13694.4 -2420.25
158000 -15591.5 9732.3 -2999.81 -16145.6 13768.3 -2975.13
159000 -11888.6 10149.5 -3267.73 -12098.3 13874.9 -3268.39
160000 -9964.6 8080.15 -2725.6 -9823.69 11609.1 -2710.96
161000 -10624.6 8568.57 -2782.62 -10490.4 12114.4 -2764.73
162000 -10253.8 6046.69 -2402.28 -9971.57 9737.34 -2380.61
163000 -11061.7 5501.61 -2143.89 -10105.2 8931.97 -2151.42
164000 -9952.38 5983.1 -2453.46 -8716.72 9786.88 -2482.74
165000 -7116.59 9240.95 -3202.44 -5924.35 12966.4 -3213.79
166000 -6768.98 5259.54 -3245.61 -5567.23 8821.49 -3225.21
167000 -5931.7 3143.96 -2901.79 -5321.14 6145.11 -2904.09
168000 -5669.82 1650.92 -3176.29 -5576.54 4333.47 -3105.36
169000 -5209.6 -488.347 -2781.08 -5364.91 2113.26 -2780.51
170000 -6659.75 -24.6847 -2497.71 -6678.1 2981.89 -2471.32
171000 -4192.34 1015.47 -2713.86 -4421.78 4547.12 -2738.41
172000 -4941.45 1823.14 -2193.87 -6016.11 5600.18 -2221.83
173000 -6844.07 5604.91 -1642.82 -7368.62 9413.66 -1664.61
174000 -8613.31 4550.48 -1850.49 -8320.57 8922.06 -1851.12
175000 -6204.1 3406.01 -2175.97 -5883.86 7706.63 -2169.78
176000 -2040.45 2712.24 -2747.96 -1477.92 7011.56 -2729.83
177000 -739.54 -913.305 -2745.47 -238.94 3899.36 -2767.84
178000 2006.51 131.189 -2432.65 2366.94 4711.22 -2453.54
179000 3296.4 -1481.48 -2989.39 3788.48 2890.11 -3034.82
180000 4615.64 -5813.61 -2818.26 4949.06 -926.528 -2833.71
181000 3002.44 -3587.14 -3161.51 3534.71 1309.56 -3167.54
182000 4901.22 -6058.47 -3692.25 5243.15 -1233.25 -3675.28
183000 5208.4 -8578.93 -3025.37 5464.51 -4022.66 -3024.08
184000 5572.89 -13342.6 -4064.84 5847.16 -8898.25 -4056.87
185000 3948.5 -15508.4 -5427.13 4249.71 -11265.1 -5393.37
186000 3120.11 -19211 -5517.24 3716.79 -15074.1 -5494.5
187000 6540.47 -21800.1 -5944.1 7211.19 -17618.1 -5928.67
188000 7483.7 -22072.9 -5786.52 7353.69 -17827.4 -5805.84
189000 12050.6 -22833.6 -6348.51 12247.4 -19293.4 -6344.38
190000 11221.2 -24607.1 -6079.74 11401 -20695.3 -6043.41
191000 10195.6 -23309.4 -6163.97 10063.7 -19681.3 -6150.36
192000 9945.18 -23103.4 -6250.61 10016.4 -19597.1 -6213.56
193000 10507.1 -24328.8 -5834.38 10597.5 -20801.6 -5852.48
194000 12255.8 -23757.2 -5524.97 12471.7 -19306.5 -5469.51
195000 13182.4 -22446.4 -5328.55 13692.6 -17878.1 -5353.97
196000 10417.4 -20028 -5363.52 10192.7 -15588.8 -5329.72
197000 8962.14 -19995.7 -5834.9 8632.46 -15595.4 -5870.73
198000 7678.36 -22687.6 -6011.21 7678.44 -18054.1 -6030.36
199000 7633.19 -21556.5 -5832.18 7269.52 -16895.9 -5816.65
200000 5654.47 -18404.3 -5532.25 5443.55 -14087.5 -5521.29
201000 8154.76 -18224.2 -5338.05 8723.99 -14138.5 -5307.93
202000 7973.2 -16925.5 -5493.39 9060.77 -12625.7 -5453.65
203000 6860.94 -17548.7 -5655.72 7351.91 -13310 -5657.09
204000 6983.13 -15576.5 -5560.05 7169.26 -11398.4 -5563.96
205000 11013.1 -11450.2 -6336.87 10865.1 -7592.05 -6326
206000 8466.55 -13508.3 -6143.92 8317.19 -9568.53 -6092.64
207000 6840.74 -13537.7 -6021.09 6594.92 -9496.95 -6005.43
